enrolment_no,standards,assessments
10815,CBSE-3|CBSE-4|CBSE-5,46
10823,CBSE-2|CBSE-3|CBSE-4|CBSE-5,65
10824,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,67
10832,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,66
10843,CBSE-2|CBSE-3|CBSE-4|CBSE-5,63
10859,CBSE-2|CBSE-3,31
10862,CBSE-2|CBSE-3|CBSE-4|CBSE-5,65
10866,CBSE-2|CBSE-3|CBSE-4,47
10873,CBSE-2|CBSE-3|CBSE-4,45
10878,CBSE-2,14
10887,CBSE-2|CBSE-3,35
10889,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
10895,CBSE-2,14
10897,CBSE-10|CBSE-7|CBSE-8|CBSE-9,127
10898,CBSE-3,17
10900,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10902,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10903,CBSE-3,17
10905,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10907,CBSE-3|CBSE-4|CBSE-5,45
10908,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10911,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10913,CBSE-2|CBSE-3|CBSE-4,44
10917,CBSE-2,14
10925,CBSE-2|CBSE-3|CBSE-4|CBSE-5,65
10929,CBSE-2|CBSE-3|CBSE-4|CBSE-5,68
10935,CBSE-2|CBSE-3,31
10936,CBSE-2,14
10938,CBSE-2,14
10939,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,66
10941,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10942,CBSE-4,17
10944,CBSE-2|CBSE-3|CBSE-4|CBSE-5,66
10946,CBSE-2|CBSE-3|CBSE-4|CBSE-5,65
10949,CBSE-4|CBSE-5|CBSE-6|CBSE-7,109
10955,CBSE-2,14
10960,CBSE-2|CBSE-3|CBSE-4|CBSE-5,60
10961,CBSE-2,14
10963,CBSE-4,17
10964,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
10967,CBSE-2|CBSE-3|CBSE-4|CBSE-5,60
10968,CBSE-2|CBSE-3|CBSE-4|CBSE-5,53
10973,CBSE-4|CBSE-5,36
10977,CBSE-2|CBSE-3|CBSE-4|CBSE-5,67
10978,CBSE-2|CBSE-3,31
10980,CBSE-4|CBSE-5,36
10984,CBSE-2|CBSE-3|CBSE-4|CBSE-5,59
10985,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,67
10986,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,67
10987,CBSE-2|CBSE-3|CBSE-4,47
10989,CBSE-2|CBSE-3|CBSE-4|CBSE-5,63
10996,CBSE-10|CBSE-8|CBSE-9,106
10999,CBSE-5|CBSE-6|CBSE-7|CBSE-8,131
11000,CBSE-2|CBSE-3|CBSE-4|CBSE-5,46
11001,CBSE-5,19
11002,CBSE-5,19
11006,CBSE-5|CBSE-6|CBSE-7|CBSE-8,123
11009,CBSE-5,19
11018,CBSE-5|CBSE-6|CBSE-7|CBSE-8,115
11020,CBSE-5|CBSE-6|CBSE-7|CBSE-8,79
11022,CBSE-5|CBSE-6|CBSE-7|CBSE-8,113
11023,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11024,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11026,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11027,CBSE-6|CBSE-7|CBSE-8|CBSE-9,124
11028,CBSE-6|CBSE-7|CBSE-8|CBSE-9,126
11029,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11030,CBSE-6|CBSE-7|CBSE-8,115
11031,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11032,CBSE-6|CBSE-7,49
11033,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11034,CBSE-6|CBSE-7|CBSE-8|CBSE-9,126
11035,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11036,CBSE-6|CBSE-7|CBSE-8|CBSE-9,132
11037,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11039,CBSE-6|CBSE-7|CBSE-8|CBSE-9,122
11040,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11042,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11044,CBSE-10|CBSE-7|CBSE-8|CBSE-9,125
11045,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
11046,CBSE-7|CBSE-8,84
11047,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
11048,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
11049,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
11051,CBSE-7|CBSE-8,85
11052,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
11054,CBSE-10|CBSE-7|CBSE-8|CBSE-9,129
11055,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11056,CBSE-10|CBSE-8|CBSE-9,107
11057,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11058,CBSE-10|CBSE-11|CBSE-8|CBSE-9,115
11060,CBSE-8,42
11061,CBSE-10|CBSE-11|CBSE-8|CBSE-9,115
11062,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11063,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11064,CBSE-10|CBSE-11|CBSE-8|CBSE-9,118
11065,CBSE-10|CBSE-11|CBSE-8|CBSE-9,112
11066,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11067,CBSE-10|CBSE-11|CBSE-8|CBSE-9,116
11068,CBSE-10|CBSE-8|CBSE-9,107
11069,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11070,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11072,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11073,CBSE-8,42
11074,CBSE-10|CBSE-11|CBSE-8|CBSE-9,118
11075,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11076,CBSE-10|CBSE-11|CBSE-8|CBSE-9,110
11077,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11078,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11079,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11080,CBSE-10|CBSE-11|CBSE-8|CBSE-9,116
11081,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11082,CBSE-10|CBSE-9,60
11083,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11084,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11085,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
11086,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11087,CBSE-10|CBSE-11|CBSE-12|CBSE-9,79
11088,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11089,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11090,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11091,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11092,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
11093,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11094,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11095,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11096,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11097,CBSE-2|CBSE-3|CBSE-4,47
11100,CBSE-2|CBSE-3|CBSE-4|CBSE-5,60
11102,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11103,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11104,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11106,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11108,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11109,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
11110,CBSE-11|CBSE-12,36
11111,CBSE-11|CBSE-12,38
11112,CBSE-11|CBSE-12,39
11113,CBSE-11|CBSE-12,41
11114,CBSE-11|CBSE-12,40
11115,CBSE-11|CBSE-12,40
11116,CBSE-11|CBSE-12,40
11117,CBSE-11|CBSE-12,39
11118,CBSE-11|CBSE-12,40
11119,CBSE-11|CBSE-12,39
11120,CBSE-11|CBSE-12,28
11121,CBSE-11|CBSE-12,35
11122,CBSE-11|CBSE-12,34
11123,CBSE-11|CBSE-12,34
11124,CBSE-4|CBSE-5|CBSE-6|CBSE-7,105
11125,CBSE-11|CBSE-12,30
11127,CBSE-11|CBSE-12,41
11128,CBSE-11|CBSE-12,35
11129,CBSE-11|CBSE-12,39
11131,CBSE-11|CBSE-12,35
11133,CBSE-11|CBSE-12,35
11134,CBSE-11|CBSE-12,35
11135,CBSE-10|CBSE-9,60
11140,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11141,CBSE-10|CBSE-11|CBSE-8|CBSE-9,119
11143,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11144,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11145,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11146,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11147,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11149,CBSE-2,14
11153,CBSE-2|CBSE-3|CBSE-4|CBSE-5,66
11154,CBSE-10|CBSE-7|CBSE-8|CBSE-9,132
11158,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11162,CBSE-10|CBSE-11|CBSE-8|CBSE-9,106
11165,CBSE-10|CBSE-9,60
11166,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
11168,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
11171,CBSE-5|CBSE-6,61
11172,CBSE-11|CBSE-12,35
11173,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11177,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11182,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,72
11190,CBSE-10|CBSE-9,56
11193,CBSE-11|CBSE-12,30
11212,CBSE-3|CBSE-4|CBSE-5|CBSE-6,49
11220,CBSE-2|CBSE-3|CBSE-4|CBSE-5,63
11221,CBSE-2|CBSE-3,31
11224,CBSE-11|CBSE-12,41
11226,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11233,CBSE-6|CBSE-7,84
11242,CBSE-9,29
11243,CBSE-6|CBSE-7|CBSE-8|CBSE-9,126
11244,CBSE-2|CBSE-3|CBSE-4,42
11246,CBSE-10|CBSE-7|CBSE-8|CBSE-9,132
11248,CBSE-11|CBSE-12,39
11251,CBSE-10|CBSE-9,60
11254,CBSE-2|CBSE-3|CBSE-4|CBSE-5,64
11255,CBSE-11|CBSE-12,27
11256,CBSE-2|CBSE-3|CBSE-4|CBSE-5,64
11260,CBSE-2|CBSE-3|CBSE-4|CBSE-5,70
11268,CBSE-2,14
11273,CBSE-10|CBSE-8|CBSE-9,103
11274,CBSE-2|CBSE-3,31
11282,CBSE-11|CBSE-12,38
11283,CBSE-2|CBSE-3|CBSE-4,41
11286,CBSE-2|CBSE-3|CBSE-4,60
11289,CBSE-2|CBSE-3|CBSE-4,46
11291,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,48
11295,CBSE-2|CBSE-3|CBSE-4|CBSE-5,67
11298,CBSE-2,14
11303,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,71
11305,CBSE-2|CBSE-3|CBSE-4|CBSE-5,58
11311,CBSE-2|CBSE-3|CBSE-4|CBSE-5,60
11312,CBSE-2|CBSE-3|CBSE-4|CBSE-5,58
11314,CBSE-5|CBSE-6|CBSE-7,82
11318,CBSE-2,14
11319,CBSE-6|CBSE-7|CBSE-8|CBSE-9,120
11320,CBSE-2|CBSE-3|CBSE-4|CBSE-5,64
11322,CBSE-2|CBSE-3|CBSE-4,43
11329,CBSE-2|CBSE-3|CBSE-4,43
11330,CBSE-4|CBSE-5|CBSE-6|CBSE-7,98
11333,CBSE-11|CBSE-12,39
11337,CBSE-5,19
11339,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,47
11341,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11342,CBSE-2|CBSE-3,31
11344,CBSE-7|CBSE-8,84
11345,CBSE-10|CBSE-9,60
11347,CBSE-2|CBSE-3|CBSE-4|CBSE-5,50
11348,CBSE-2|CBSE-3,31
11351,CBSE-1|CBSE-2|CBSE-3,55
11352,CBSE-1|CBSE-2|CBSE-3|CBSE-4,60
11353,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11354,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11356,CBSE-1|CBSE-2|CBSE-3,42
11358,CBSE-1,14
11361,CBSE-1|CBSE-2,30
11363,CBSE-1|CBSE-2|CBSE-3,42
11365,CBSE-1|CBSE-2|CBSE-3,41
11366,CBSE-1|CBSE-2|CBSE-3|CBSE-4,60
11375,CBSE-1|CBSE-2|CBSE-3|CBSE-4,46
11376,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11377,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11378,CBSE-1|CBSE-2|CBSE-3|CBSE-4,56
11379,CBSE-1|CBSE-2,28
11385,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11387,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11394,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11400,CBSE-1|CBSE-2|CBSE-3,36
11401,CBSE-1|CBSE-2|CBSE-3|CBSE-4,58
